wd_id,nombre,iso_master,status,lang,via,ciudad,city_qid,pais_ciudad,lat,lon
Q2697451,Miguel Brito,BOL,solo_pais,en,text,Bolivia,Q750,BOL,-17.0569,-64.9912
Q2697446,Gumercindo Gómez,BOL,solo_pais,en,link,Bolivia,Q750,BOL,-17.0569,-64.9912
Q2697421,Constantino Noya,BOL,solo_pais,en,link,Bolivia,Q750,BOL,-17.0569,-64.9912
Q2482034,Luis Reyes Peñaranda,BOL,solo_pais,fa,link,بولیوی,Q750,BOL,-17.0569,-64.9912
Q682848,Jorge Valderrama,BOL,solo_pais,en,link,Bolivia,Q750,BOL,-17.0569,-64.9912
Q1363125,Horacio Muñoz,CHL,ciudad_sin_resolver,es,link,Colico (Chile),,,,
Q763529,Eberardo Villalobos,CHL,OK_ciudad,es,link,Osorno,Q51059,CHL,-40.5667,-73.15
Q2635557,Jesús Castro,MEX,solo_pais,en,link,Mexico,Q96,MEX,23,-102
Q924411,Roberto Gayón,CRI,solo_pais,es,link,Costa Rica,Q800,CRI,10,-84
Q972927,Felipe Olivares,MEX,solo_pais,es,link,México,Q96,MEX,23,-102
Q968691,Raymundo Rodríguez,MEX,solo_pais,es,link,México,Q96,MEX,23,-102
Q2525511,Francisco Aguirre,PRY,solo_pais,en,link,Paraguay,Q733,,-23.5,-58
Q2703867,Santiago Benítez,PRY,solo_pais,en,link,Paraguay,Q733,,-23.5,-58
Q2697482,Saguier Carreras,PRY,solo_pais,en,link,Paraguay,Q733,,-23.5,-58
Q2696797,Eustacio Chamorro,PRY,solo_pais,en,link,Paraguay,Q733,,-23.5,-58
Q2697444,Eusebio Díaz,PRY,solo_pais,en,link,Paraguay,Q733,,-23.5,-58
Q369357,Diógenes Domínguez,PRY,solo_pais,en,link,Paraguay,Q733,,-23.5,-58
Q2697456,Romildo Etcheverry,PRY,solo_pais,en,link,Paraguay,Q733,,-23.5,-58
Q2697427,Diego Florentín,PRY,solo_pais,en,link,Paraguay,Q733,,-23.5,-58
Q2697493,Salvador Flores,PRY,solo_pais,en,link,Paraguay,Q733,,-23.5,-58
Q2697437,José Miracca,PRY,solo_pais,en,link,Paraguay,Q733,,-23.5,-58
Q2697476,Lino Nessi,PRY,solo_pais,en,link,Paraguay,Q733,,-23.5,-58
Q2697432,Quiterio Olmedo,PRY,solo_pais,en,link,Paraguay,Q733,,-23.5,-58
Q2897340,Bernabé Rivera,PRY,solo_pais,en,link,Paraguay,Q733,,-23.5,-58
Q934726,Gerardo Romero,PRY,solo_pais,en,link,Paraguay,Q733,,-23.5,-58
Q1770954,Julio Quintana,PER,solo_pais,es,link,Perú,Q419,PER,-9.4,-76
Q2426509,Lizardo Rodríguez Nue,PER,solo_pais,es,link,Perú,Q419,PER,-9.4,-76
Q2426460,Juan Alfonso Valle,PER,solo_pais,en,text,Peru,Q419,PER,-9.4,-76
Q2696573,Ernesto Albarracín,ARG,solo_pais,es,link,Buenos Aires,Q1486,ARG,-34.5997,-58.3819
Q2696508,Ramón Astudillo,ARG,solo_pais,en,link,Argentina,Q414,ARG,-34,-64
Q2703796,Ernesto Belis,ARG,solo_pais,es,link,Argentina,Q414,ARG,-34,-64
Q2696998,Enrique Chimento,ARG,solo_pais,en,link,Argentina,Q414,ARG,-34,-64
Q1029372,Ángel Grippa,ARG,solo_pais,en,link,Argentina,Q414,ARG,-34,-64
Q2365969,Luis Izzeta,ARG,solo_pais,en,link,Argentina,Q414,ARG,-34,-64
Q2696498,Alfonso Lorenzo,ARG,solo_pais,en,link,Argentina,Q414,ARG,-34,-64
Q2697871,Mohammed Bakhati,EGY,solo_pais,en,link,Egypt,Q79,EGY,27,29
Q2697843,Mahmoud El-Nigero,EGY,solo_pais,en,link,Egypt,Q79,EGY,27,29
Q2697831,Yacout El-Soury,EGY,solo_pais,en,link,Egypt,Q79,EGY,27,29
Q2697536,Aziz Fahmy,EGY,solo_pais,en,link,Egypt,Q79,EGY,27,29
Q4695839,Ahmed Halim Ibrahim,EGY,solo_pais,en,link,Egypt,Q79,EGY,27,29
Q2698168,Hamidu,EGY,solo_pais,en,link,Egypt,Q79,EGY,27,29
Q2698159,Hafez Kasseb,EGY,solo_pais,en,link,Egypt,Q79,EGY,27,29
Q3214339,Labib Mahmoud,EGY,solo_pais,en,link,Egypt,Q79,EGY,27,29
Q403476,Mustafa Mansour,EGY,OK_ciudad,en,link,El Cairo,Q85,EGY,30.0444,31.2358
Q2482388,Kamel Mosaoud,EGY,solo_pais,en,link,Egypt,Q79,EGY,27,29
Q402214,Ismail Rafaat,EGY,solo_pais,en,link,Egypt,Q79,EGY,27,29
Q2482127,Hassan Raghab,EGY,solo_pais,en,link,Egypt,Q79,EGY,27,29
Q123500,Willy Busch,DEU,solo_pais,es,link,Imperio alemán,Q43287,,52.5186,13.3761
Q489837,Hans Schwartz,DEU,solo_pais,es,link,Imperio alemán,Q43287,,52.5186,13.3761
Q568273,Josef Streb,DEU,solo_pais,es,link,Imperio alemán,Q43287,,52.5186,13.3761
Q568282,Paul Zielinski,DEU,solo_pais,en,text,Germany,Q183,DEU,51,10
Q666873,Gyula Futó,,solo_pais,en,link,Hungary,Q28,HUN,47,19
Q905390,Imre Markos,,solo_pais,en,link,Austria-Hungary,Q28513,,48.2075,16.365
Q745026,Gábor Szabó,HUN,solo_pais,en,link,Austria-Hungary,Q28513,,48.2075,16.365
